Guess,AverageRemainingSolutions,NumberOfGroups,WordsPerGroup,PotentialSolution
trace,73.94586401039388,150,15.393333333333333,1
crate,72.80684278908598,148,15.60135135135135,1
salet,70.94023386747486,148,15.60135135135135,0
reast,71.42789086184484,147,15.70748299319728,0
slate,71.2815071459505,146,15.815068493150685,1
parse,86.74707665656108,146,15.815068493150685,1
carte,73.41403204850566,146,15.815068493150685,0
caret,75.44434820268496,145,15.924137931034483,0
peart,86.5669120831527,145,15.924137931034483,0
carle,74.66825465569487,144,16.03472222222222,0
crane,78.68644434820253,142,16.260563380281692,1
earst,76.36942399307048,142,16.260563380281692,0
stale,75.32828064096995,141,16.375886524822697,1
heart,89.14378518839311,141,16.375886524822697,1
reist,82.53659592897345,141,16.375886524822697,0
react,79.70160242529218,140,16.492857142857144,1
least,77.9675184062363,140,16.492857142857144,1
cater,80.65786054569057,139,16.611510791366907,1
carse,74.75660459073181,139,16.611510791366907,0
tried,101.29276743178843,138,16.731884057971016,1
prase,88.64833261151996,138,16.731884057971016,0
trine,81.55002165439574,138,16.731884057971016,0
train,88.51580770896476,137,16.854014598540147,1
clear,88.25941966219129,137,16.854014598540147,1
feart,101.14118666089203,137,16.854014598540147,0
laten,78.387613685578,137,16.854014598540147,0
thrae,87.02078822000854,137,16.854014598540147,0
torse,77.48159376353382,137,16.854014598540147,0
trade,80.58077089649186,136,16.977941176470587,1
prate,81.24859246427006,136,16.977941176470587,0
resat,75.75703767864857,136,16.977941176470587,0
saine,72.44304893893442,136,16.977941176470587,0
shite,120.14335210047625,136,16.977941176470587,0
alien,83.63837158943248,135,17.103703703703705,1
trice,85.77869207449092,135,17.103703703703705,1
dealt,91.06063230835842,135,17.103703703703705,1
chare,102.99133824166294,135,17.103703703703705,0
crape,99.1359896058898,135,17.103703703703705,0
dearn,95.98657427457749,135,17.103703703703705,0
derat,89.0459073191856,135,17.103703703703705,0
diner,123.3542659159807,134,17.23134328358209,1
truce,101.99177132957973,134,17.23134328358209,1
later,70.02728453876122,134,17.23134328358209,1
tread,94.83715894326531,134,17.23134328358209,1
pearl,91.14898224339521,134,17.23134328358209,1
roast,82.78345604157634,134,17.23134328358209,1
cleat,96.57384148982226,134,17.23134328358209,1
spare,91.36899090515357,134,17.23134328358209,1
chart,140.5495885664794,134,17.23134328358209,1
antre,73.83412732784741,134,17.23134328358209,0
cruet,102.61455175400597,134,17.23134328358209,0
ratel,69.6054569077521,134,17.23134328358209,0
spale,99.0623646600258,134,17.23134328358209,0
taler,67.45907319185778,134,17.23134328358209,0
taser,70.90731918579456,134,17.23134328358209,0
thale,87.88349935036797,134,17.23134328358209,0
trape,82.4161974880899,134,17.23134328358209,0
pleat,105.88090082286682,133,17.360902255639097,1
stare,71.04677349501944,133,17.360902255639097,1
earth,97.11866608921594,133,17.360902255639097,1
shale,90.84928540493708,133,17.360902255639097,1
caner,86.99133824166296,133,17.360902255639097,0
caron,109.09961022087462,133,17.360902255639097,0
curet,106.70550021654373,133,17.360902255639097,0
denar,98.5954958856646,133,17.360902255639097,0
palet,89.77003031615402,133,17.360902255639097,0
prest,115.66349068860966,133,17.360902255639097,0
slane,73.85578172368974,133,17.360902255639097,0
spate,100.39454309224763,133,17.360902255639097,0
snare,71.0155911650064,132,17.492424242424242,1
paler,90.60329146816785,132,17.492424242424242,1
plane,95.14291901255933,132,17.492424242424242,1
saner,70.01775660459059,132,17.492424242424242,1
blare,94.36942399307046,132,17.492424242424242,1
raise,60.744478129060184,132,17.492424242424242,1
leant,77.08921611087034,132,17.492424242424242,1
horse,99.25898657427435,132,17.492424242424242,1
aline,80.66738847986126,132,17.492424242424242,0
blate,99.30749242096134,132,17.492424242424242,0
heast,106.0558683412731,132,17.492424242424242,0
lacer,85.47379818103056,132,17.492424242424242,0
paire,76.68038111736664,132,17.492424242424242,0
perst,111.87483759203104,132,17.492424242424242,0
slart,85.78475530532685,132,17.492424242424242,0
tared,84.60502381983524,132,17.492424242424242,0
throe,99.33261152013841,132,17.492424242424242,0
drain,118.52793417063646,131,17.625954198473284,1
lapse,99.33001299263739,131,17.625954198473284,1
plate,89.03637938501504,131,17.625954198473284,1
learn,76.72195755738404,131,17.625954198473284,1
alert,71.51017756604575,131,17.625954198473284,1
scale,87.31615417929824,131,17.625954198473284,1
slant,98.54265915980925,131,17.625954198473284,1
crone,93.82979644867895,131,17.625954198473284,1
apert,97.18103074924196,131,17.625954198473284,0
corse,88.77306193157195,131,17.625954198473284,0
drice,114.14768297964476,131,17.625954198473284,0
halse,90.83196188826318,131,17.625954198473284,0
parle,82.47076656561265,131,17.625954198473284,0
petar,93.03204850584657,131,17.625954198473284,0
riled,109.20614984841906,131,17.625954198473284,0
rotan,97.13945430922465,131,17.625954198473284,0
sault,112.64833261151988,131,17.625954198473284,0
thane,94.26201818969231,131,17.625954198473284,0
tiler,79.9467301862277,131,17.625954198473284,0
paste,99.97358163707219,130,17.76153846153846,1
share,85.43482026851434,130,17.76153846153846,1
suite,104.16587267215228,130,17.76153846153846,1
drone,104.42052836725838,130,17.76153846153846,1
snore,82.43265482893008,130,17.76153846153846,1
diane,97.84971849285385,130,17.76153846153846,0
earnt,76.49501948895616,130,17.76153846153846,0
pater,89.35253356431339,130,17.76153846153846,0
plast,131.37851883932498,130,17.76153846153846,0
prise,100.72802078821987,130,17.76153846153846,0
rance,82.20398440883481,130,17.76153846153846,0
redan,105.73365093113888,130,17.76153846153846,0
surat,106.24382849718478,130,17.76153846153846,0
tepal,104.28020788219989,130,17.76153846153846,0
tired,103.04504114335192,130,17.76153846153846,0
saute,83.92161108705048,129,17.899224806201552,1
saint,103.89995669120815,129,17.899224806201552,1
lance,90.84062364660015,129,17.899224806201552,1
siren,84.0246860112601,129,17.899224806201552,1
plier,103.74144651364216,129,17.899224806201552,1
filet,131.97704634040753,129,17.899224806201552,1
renal,81.0831528800345,129,17.899224806201552,1
table,98.47076656561259,129,17.899224806201552,1
trail,79.1576440017322,129,17.899224806201552,1
rinse,84.79904720658283,129,17.899224806201552,1
anile,82.24642702468584,129,17.899224806201552,0
cadre,96.37895192724108,129,17.899224806201552,0
crame,102.67778258986554,129,17.899224806201552,0
daine,97.14465136422673,129,17.899224806201552,0
dater,87.74058033780842,129,17.899224806201552,0
dinar,124.47423126894743,129,17.899224806201552,0
doner,117.81766998700719,129,17.899224806201552,0
frate,92.99480294499767,129,17.899224806201552,0
horst,140.89865742745818,129,17.899224806201552,0
liane,75.22780424426149,129,17.899224806201552,0
paren,92.76353399740131,129,17.899224806201552,0
raine,66.93070593330437,129,17.899224806201552,0
setal,82.10610653962738,129,17.899224806201552,0
sient,109.29709831095693,129,17.899224806201552,0
spier,107.94932871372866,129,17.899224806201552,0
stane,79.5049805110436,129,17.899224806201552,0
taber,96.88566478995219,129,17.899224806201552,0
toran,92.71589432654815,129,17.899224806201552,0
trone,78.5417929839756,129,17.899224806201552,0
triad,108.67431788653079,128,18.0390625,1
price,114.22996968384564,128,18.0390625,1
hater,87.78042442615833,128,18.0390625,1
place,112.26201818969233,128,18.0390625,1
shalt,130.41273278475555,128,18.0390625,1
coral,104.03161541792969,128,18.0390625,1
spire,103.48245993936749,128,18.0390625,1
alter,69.82546556951043,128,18.0390625,1
petal,105.58813339107826,128,18.0390625,1
teach,122.10957124296209,128,18.0390625,1
brace,107.09787786920731,128,18.0390625,1
alist,100.51320918146368,128,18.0390625,0
anise,82.79644867908173,128,18.0390625,0
ariot,85.13079255088772,128,18.0390625,0
artel,67.3300129926374,128,18.0390625,0
caple,111.339540926808,128,18.0390625,0
clart,96.83369423993057,128,18.0390625,0
crine,95.65742745777384,128,18.0390625,0
mater,93.69987007362478,128,18.0390625,0
morat,113.82546556951038,128,18.0390625,0
oater,70.87960155911634,128,18.0390625,0
paise,89.99523603291446,128,18.0390625,0
raile,61.19402338674749,128,18.0390625,0
resit,86.51667388479848,128,18.0390625,0
roset,81.84625378951908,128,18.0390625,0
seral,72.90298830662609,128,18.0390625,0
serin,85.8306626245126,128,18.0390625,0
speat,116.98267648332597,128,18.0390625,0
sprue,129.66782156777865,128,18.0390625,0
tares,71.18882633174519,128,18.0390625,0
tears,75.25638804677335,128,18.0390625,0
tolar,82.93503681247273,128,18.0390625,0
toner,87.41316587267201,128,18.0390625,0
tride,97.34906886097856,128,18.0390625,0
wrate,94.22390645300979,128,18.0390625,0
spite,122.0498051104372,127,18.181102362204726,1
spelt,129.1221307925513,127,18.181102362204726,1
purse,127.16543958423549,127,18.181102362204726,1
tamer,92.690775227371,127,18.181102362204726,1
pried,134.26115201385923,127,18.181102362204726,1
taper,89.04417496751819,127,18.181102362204726,1
reach,111.16803811173659,127,18.181102362204726,1
cairn,107.23126894759619,127,18.181102362204726,1
curse,108.28800346470315,127,18.181102362204726,1
teary,83.7838891294932,127,18.181102362204726,1
baler,101.70160242529215,127,18.181102362204726,1
satin,108.9956691208314,127,18.181102362204726,1
plait,120.71762667821554,127,18.181102362204726,1
ailed,101.84625378951912,127,18.181102362204726,0
armet,89.72239064530083,127,18.181102362204726,0
belar,107.28237332178409,127,18.181102362204726,0
brane,93.44608055435235,127,18.181102362204726,0
cabre,107.96838458207002,127,18.181102362204726,0
citer,95.70420095279329,127,18.181102362204726,0
orate,63.61325249025545,127,18.181102362204726,0
piert,108.96621914248574,127,18.181102362204726,0
piler,107.83845820701592,127,18.181102362204726,0
rated,88.19792117799898,127,18.181102362204726,0
relit,82.2576873105239,127,18.181102362204726,0
roist,96.57730619315713,127,18.181102362204726,0
ronde,110.12949328713711,127,18.181102362204726,0
rotal,88.39887397141602,127,18.181102362204726,0
sepal,110.27674317886515,127,18.181102362204726,0
slier,75.72239064530088,127,18.181102362204726,0
slipe,115.03204850584648,127,18.181102362204726,0
soare,62.058466868774374,127,18.181102362204726,0
sonce,102.57124296232118,127,18.181102362204726,0
teras,76.9333044608054,127,18.181102362204726,0
tiled,110.91424859246412,127,18.181102362204726,0
torah,110.52013858813325,127,18.181102362204726,0
scare,80.62494586401023,126,18.325396825396826,1
heist,125.0225205716759,126,18.325396825396826,1
spiel,117.60372455608476,126,18.325396825396826,1
prone,101.60372455608481,126,18.325396825396826,1
clean,108.7860545690773,126,18.325396825396826,1
large,90.11996535296652,126,18.325396825396826,1
caste,85.22433954092664,126,18.325396825396826,1
bloat,134.51754006063277,126,18.325396825396826,1
glare,88.51061065396266,126,18.325396825396826,1
bleat,118.10090948462518,126,18.325396825396826,1
slept,127.97877869207433,126,18.325396825396826,1
leapt,96.49068860978764,126,18.325396825396826,1
brute,125.43222174101328,126,18.325396825396826,1
cried,118.45257687310517,126,18.325396825396826,1
buret,131.3005630142923,126,18.325396825396826,0
cares,81.69727154612376,126,18.325396825396826,0
clame,117.3438718059764,126,18.325396825396826,0
cline,106.79731485491541,126,18.325396825396826,0
coure,102.70376786487645,126,18.325396825396826,0
freit,124.46730186227786,126,18.325396825396826,0
lacet,83.537895192724,126,18.325396825396826,0
leary,89.06756171502798,126,18.325396825396826,0
marle,86.25855348635756,126,18.325396825396826,0
marse,87.83326115201375,126,18.325396825396826,0
recal,92.31658726721508,126,18.325396825396826,0
roate,60.132091814638315,126,18.325396825396826,0
salep,98.42052836725844,126,18.325396825396826,0
seron,87.5223040277175,126,18.325396825396826,0
spart,121.47293200519695,126,18.325396825396826,0
stire,80.94196621914237,126,18.325396825396826,0
targe,86.43265482893011,126,18.325396825396826,0
teals,79.70679948029435,126,18.325396825396826,0
thine,118.31745344304878,126,18.325396825396826,0
tries,81.0199220441748,126,18.325396825396826,0
great,96.16760502381973,125,18.472,1
store,80.84755305326969,125,18.472,1
grate,84.26894759636195,125,18.472,1
risen,92.43871805976602,125,18.472,1
steal,92.43958423559965,125,18.472,1
relay,96.89865742745758,125,18.472,1
space,115.71805976613233,125,18.472,1
short,141.3733217843226,125,18.472,1
beard,129.48419229103553,125,18.472,1
cedar,108.86574274577721,125,18.472,1
cider,124.60935469900375,125,18.472,1
carol,98.84148982243384,125,18.472,1
lager,96.67951494153296,125,18.472,1
trial,82.62234733650915,125,18.472,1
haste,100.54265915980929,125,18.472,1
slice,96.00216543958413,125,18.472,1
blade,134.12343005630194,125,18.472,1
shine,119.90688609787769,125,18.472,1
argle,89.72932005197039,125,18.472,0
ariel,65.18882633174526,125,18.472,0
blaer,99.02598527501068,125,18.472,0
chert,137.47206582936371,125,18.472,0
clade,107.71199653529654,125,18.472,0
cuter,113.04677349501934,125,18.472,0
deair,85.06842789086166,125,18.472,0
doter,106.69683845820691,125,18.472,0
drail,105.19835426591578,125,18.472,0
leats,82.40580337808562,125,18.472,0
litre,76.21437851883911,125,18.472,0
maile,91.03291468168018,125,18.472,0
racon,114.62407968817654,125,18.472,0
retia,78.25335643135546,125,18.472,0
riant,88.70376786487648,125,18.472,0
ronte,81.38025119099167,125,18.472,0
saunt,121.06756171502799,125,18.472,0
sorel,75.84019055868329,125,18.472,0
spaer,93.21134690342124,125,18.472,0
spane,102.10697271546107,125,18.472,0
stile,88.93850151580756,125,18.472,0
strae,71.59419662191412,125,18.472,0
tuile,92.44218276310073,125,18.472,0
panel,100.04114335210038,124,18.620967741935484,1
alone,77.16024252923333,124,18.620967741935484,1
cheat,133.88436552620217,124,18.620967741935484,1
tapir,107.46860112602847,124,18.620967741935484,1
shire,96.38847986141165,124,18.620967741935484,1
those,115.42009527934152,124,18.620967741935484,1
phase,128.48895625812074,124,18.620967741935484,1
snail,106.24209614551744,124,18.620967741935484,1
prose,101.63144218276291,124,18.620967741935484,1
irate,63.491987873538264,124,18.620967741935484,1
bread,138.3477695972287,124,18.620967741935484,1
crest,98.2325682113467,124,18.620967741935484,1
caper,106.07492420961441,124,18.620967741935484,1
slain,104.29839757470754,124,18.620967741935484,1
tripe,97.4261585101774,124,18.620967741935484,1
flare,98.14421827630996,124,18.620967741935484,1
arled,90.03334776959716,124,18.620967741935484,0
aroid,118.37202252057158,124,18.620967741935484,0
barde,119.33867475097433,124,18.620967741935484,0
birle,104.209181463837,124,18.620967741935484,0
blase,105.11779991338231,124,18.620967741935484,0
blear,107.77695972282358,124,18.620967741935484,0
boart,111.31615417929825,124,18.620967741935484,0
borel,114.56344737981799,124,18.620967741935484,0
carom,141.6591598094417,124,18.620967741935484,0
clast,114.32091814638356,124,18.620967741935484,0
conte,101.46600259852734,124,18.620967741935484,0
cores,98.05673451710676,124,18.620967741935484,0
crena,94.67431788653076,124,18.620967741935484,0
elint,109.66175833694226,124,18.620967741935484,0
genal,124.07752273711543,124,18.620967741935484,0
liter,83.21394543092235,124,18.620967741935484,0
maire,79.67561715028137,124,18.620967741935484,0
maron,125.94066695539182,124,18.620967741935484,0
orant,85.57080987440439,124,18.620967741935484,0
pareo,89.22174101342557,124,18.620967741935484,0
paten,98.96448679081838,124,18.620967741935484,0
phare,106.57903854482443,124,18.620967741935484,0
radon,122.38068427890845,124,18.620967741935484,0
ranid,125.33087916847103,124,18.620967741935484,0
roted,106.32091814638359,124,18.620967741935484,0
roust,124.47942832394962,124,18.620967741935484,0
saice,76.40753572975301,124,18.620967741935484,0
silen,93.92074491121677,124,18.620967741935484,0
stear,78.62841056734503,124,18.620967741935484,0
trema,103.42096145517522,124,18.620967741935484,0
trode,97.89822433954077,124,18.620967741935484,0
labor,124.04460805543512,123,18.772357723577237,1
chant,161.98397574707724,123,18.772357723577237,1
manor,122.33304460805527,123,18.772357723577237,1
arise,63.46860112602855,123,18.772357723577237,1
canoe,86.73235166738833,123,18.772357723577237,1
spore,103.62364660025963,123,18.772357723577237,1
reign,134.09224772628883,123,18.772357723577237,1
flirt,149.09527934170677,123,18.772357723577237,1
resin,95.42442615851,123,18.772357723577237,1
angel,119.78908618449522,123,18.772357723577237,1
spine,128.5738414898228,123,18.772357723577237,1
baron,131.3404071026424,123,18.772357723577237,1
cable,121.70073624945844,123,18.772357723577237,1
grain,126.26461671719339,123,18.772357723577237,1
clone,100.71935902988288,123,18.772357723577237,1
metro,115.28150714595044,123,18.772357723577237,1
spear,100.69857080987428,123,18.772357723577237,1
tonal,100.51234300562999,123,18.772357723577237,1
alder,94.15980944131638,123,18.772357723577237,0
aloin,116.74274577739264,123,18.772357723577237,0
bluet,139.03464703334816,123,18.772357723577237,0
coate,74.35902988306616,123,18.772357723577237,0
cotan,126.76959722823717,123,18.772357723577237,0
cripe,114.71069727154598,123,18.772357723577237,0
daint,130.37808575140778,123,18.772357723577237,0
dicer,127.10567345171053,123,18.772357723577237,0
flite,127.12126461671694,123,18.772357723577237,0
laser,71.96665223040262,123,18.772357723577237,0
lobar,128.0160242529234,123,18.772357723577237,0
morae,90.25508878302284,123,18.772357723577237,0
morse,104.68990905153733,123,18.772357723577237,0
nacre,84.23863144218262,123,18.772357723577237,0
neist,103.49718492854032,123,18.772357723577237,0
pared,110.6006929406668,123,18.772357723577237,0
pares,93.29709831095691,123,18.772357723577237,0
peals,107.70853183196178,123,18.772357723577237,0
prost,133.36292767431829,123,18.772357723577237,0
ramet,90.23256821134673,123,18.772357723577237,0
saith,129.75530532698176,123,18.772357723577237,0
sarin,88.25162407968801,123,18.772357723577237,0
shier,99.28757037678632,123,18.772357723577237,0
shoer,102.38588133391055,123,18.772357723577237,0
shote,115.20181896925058,123,18.772357723577237,0
sider,101.46600259852737,123,18.772357723577237,0
siler,78.39367691641387,123,18.772357723577237,0
sined,123.6842789086183,123,18.772357723577237,0
snirt,115.20528367258535,123,18.772357723577237,0
spait,135.70853183196223,123,18.772357723577237,0
spalt,131.25812039844132,123,18.772357723577237,0
spile,116.66305760069274,123,18.772357723577237,0
taros,89.16977046340395,123,18.772357723577237,0
tinea,87.62537895192705,123,18.772357723577237,0
tined,129.27111303594666,123,18.772357723577237,0
toile,72.79038544824583,123,18.772357723577237,0
trued,117.66608921611072,123,18.772357723577237,0
grade,114.1485491554784,122,18.92622950819672,1
smart,122.10177566045898,122,18.92622950819672,1
trope,96.9748809008227,122,18.92622950819672,1
stair,86.72975313988728,122,18.92622950819672,1
glean,129.032048505847,122,18.92622950819672,1
acorn,119.07275877003019,122,18.92622950819672,1
since,108.99566912083138,122,18.92622950819672,1
delay,139.4097011693379,122,18.92622950819672,1
party,138.62148116067615,122,18.92622950819672,1
ramen,101.265915980944,122,18.92622950819672,1
poise,105.5223040277175,122,18.92622950819672,1
chore,120.367691641403,122,18.92622950819672,1
snort,110.78692074491107,122,18.92622950819672,1
terse,126.49328713728879,122,18.92622950819672,1
shirt,142.99480294499833,122,18.92622950819672,1
leash,100.32091814638353,122,18.92622950819672,1
liner,92.32438284971832,122,18.92622950819672,1
salty,123.80900822867028,122,18.92622950819672,1
sonar,87.78388912949315,122,18.92622950819672,1
borne,114.55045474231257,122,18.92622950819672,1
drape,106.92464270246839,122,18.92622950819672,1
leach,122.90991771329564,122,18.92622950819672,1
aired,89.61585101775644,122,18.92622950819672,0
apter,95.57427457773905,122,18.92622950819672,0
bolar,126.62148116067544,122,18.92622950819672,0
butle,141.74404504114395,122,18.92622950819672,0
caird,121.89735816370708,122,18.92622950819672,0
cared,99.66002598527481,122,18.92622950819672,0
ceorl,91.99523603291456,122,18.92622950819672,0
clied,127.76483326115181,122,18.92622950819672,0
coram,146.97488090082334,122,18.92622950819672,0
cored,122.1485491554784,122,18.92622950819672,0
curat,120.82416630575992,122,18.92622950819672,0
deray,117.71805976613237,122,18.92622950819672,0
elain,93.22520571676031,122,18.92622950819672,0
eruct,121.14898224339527,122,18.92622950819672,0
hanse,95.28583802511898,122,18.92622950819672,0
hurst,179.96838458207068,122,18.92622950819672,0
lader,92.55825032481577,122,18.92622950819672,0
liart,81.12906019922032,122,18.92622950819672,0
loast,90.29233434387162,122,18.92622950819672,0
loran,95.58466868774345,122,18.92622950819672,0
losen,94.77739281074044,122,18.92622950819672,0
mitre,101.38284971849275,122,18.92622950819672,0
neral,80.50281507145935,122,18.92622950819672,0
oaten,81.23300129926363,122,18.92622950819672,0
peats,107.82026851450829,122,18.92622950819672,0
pilae,98.76180164573394,122,18.92622950819672,0
ploat,118.21004763967065,122,18.92622950819672,0
porae,85.04937202252039,122,18.92622950819672,0
presa,104.41186660892144,122,18.92622950819672,0
scart,107.62624512776074,122,18.92622950819672,0
senor,83.8869640537028,122,18.92622950819672,0
seton,98.49935036812461,122,18.92622950819672,0
shute,149.4235599826769,122,18.92622950819672,0
sieth,138.8250324815942,122,18.92622950819672,0
slade,89.40970116933717,122,18.92622950819672,0
sprat,122.29926375054127,122,18.92622950819672,0
sture,99.65136422693794,122,18.92622950819672,0
suent,127.4088349935035,122,18.92622950819672,0
tabor,117.59506279774777,122,18.92622950819672,0
toise,79.60199220441743,122,18.92622950819672,0
tores,84.33044608055425,122,18.92622950819672,0
troad,108.44478129060177,122,18.92622950819672,0
tuner,100.88393243828482,122,18.92622950819672,0
urate,72.5920311823299,122,18.92622950819672,0
brine,113.85751407535719,121,19.082644628099175,1
their,106.4135989605888,121,19.082644628099175,1
farce,111.08315288003452,121,19.082644628099175,1
merit,105.25378951927223,121,19.082644628099175,1
singe,136.57557384149035,121,19.082644628099175,1
chase,117.97877869207437,121,19.082644628099175,1
range,100.09138155045466,121,19.082644628099175,1
aider,93.47812906019912,121,19.082644628099175,1
poser,111.97618016457325,121,19.082644628099175,1
regal,106.60935469900375,121,19.082644628099175,1
shear,92.68817669986993,121,19.082644628099175,1
timer,109.83759203118221,121,19.082644628099175,1
arose,65.75963620614978,121,19.082644628099175,1
slope,110.64573408401888,121,19.082644628099175,1
dirge,142.13988739714208,121,19.082644628099175,1
giant,141.21307925508927,121,19.082644628099175,1
ratio,91.52403637938492,121,19.082644628099175,1
court,138.12602858380274,121,19.082644628099175,1
heard,111.02598527501067,121,19.082644628099175,1
grant,115.30749242096125,121,19.082644628099175,1
shore,97.82633174534416,121,19.082644628099175,1
pulse,142.78865309657922,121,19.082644628099175,1
arets,77.76743178865297,121,19.082644628099175,0
argon,139.3975747076662,121,19.082644628099175,0
burse,132.73495019489005,121,19.082644628099175,0
caber,114.8735383282805,121,19.082644628099175,0
claro,103.74058033780838,121,19.082644628099175,0
coder,125.76829796448664,121,19.082644628099175,0
